Player,Height,Weight,Age,School,BDate
Vitor Faverani,83,260,25,None,05-05-1988
Avery Bradley,74,180,22,Texas,26-11-1990
Keith Bogans,77,215,33,Kentucky,12-05-1980
Jared Sullinger,81,260,21,Ohio State,04-03-1992
Jeff Green,81,235,27,Georgetown,28-08-1986
Rajon Rondo,73,171,27,Kentucky,22-02-1986
Courtney Lee,77,200,27,Western Kentucky,03-10-1985
MarShon Brooks,77,200,24,Providence,26-01-1989
Phil Pressey,71,175,22,Missouri,17-02-1991
Jordan Crawford,76,195,24,Xavier,23-10-1988
Brandon Bass,80,250,28,LSU,30-04-1985
Colton Iverson,84,255,24,Colorado State,29-06-1989
Kelly Olynyk,84,238,22,Gonzaga,19-04-1991
Kris Humphries,81,235,28,Minnesota,06-02-1985
Chris Wilcox,82,235,31,Maryland,03-09-1982
Gerald Wallace,79,220,31,Alabama,23-07-1982
Andray Blatche,83,260,27,None,22-08-1986
Alan Anderson,78,219,30,Michigan State,16-10-1982
Mason Plumlee,82,235,23,Duke,05-03-1990
Kevin Garnett,83,253,37,None,19-05-1976
Joe Johnson,79,240,32,Arkansas,29-06-1981
Deron Williams,75,209,29,Illinois,26-06-1984
Tyshawn Taylor,75,185,23,Kansas,11-04-1990
Brook Lopez,84,265,25,Stanford,01-04-1988
Shaun Livingston,79,185,28,None,11-09-1985
Tornike Shengelia,81,217,21,Spirou Charleroi (BEL),05-10-1991
Reggie Evans,80,245,33,Iowa,18-05-1980
Jason Terry,74,180,36,Arizona,15-09-1977
Mirza Teletovic,80,235,28,None,18-09-1985
Paul Pierce,79,235,35,Kansas,13-10-1977
Jerry Stackhouse,78,218,38,North Carolina,05-11-1974
Andrei Kirilenko,81,235,32,None,18-02-1981
Andrea Bargnani,84,255,27,None,26-10-1985
C.J. Leslie,81,209,22,NC State,25-06-1991
Toure` Murry,77,200,23,Wichita State,08-11-1989
Jeremy Tyler,82,260,22,Tokyo Apache (Japan),21-06-1991
Metta World Peace,79,260,33,St. John`s,13-11-1979
Tim Hardaway Jr.,78,205,21,Michigan,16-03-1992
Chris Smith,74,195,25,Louisville,13-10-1987
Beno Udrih,75,205,31,None,05-07-1982
Amare Stoudemire,82,240,30,None,16-11-1982
Raymond Felton,73,205,29,North Carolina,26-06-1984
Kenyon Martin,81,240,35,Cincinnati,30-12-1977
Tyson Chandler,85,235,30,None,02-10-1982
Carmelo Anthony,80,230,29,Syracuse,29-05-1984
Pablo Prigioni,75,180,36,None,17-05-1977
Iman Shumpert,78,220,23,Georgia Tech,26-06-1990
Earl Barron,84,250,32,Memphis,14-08-1981
Spencer Hawes,85,245,25,Washington,28-04-1988
Furkan Aldemir,81,220,22,Galatasaray (TUR),09-08-1991
Tim Ohlbrecht,83,255,25,None,30-08-1988
Royce White,80,260,22,Iowa State,10-04-1991
James Anderson,78,215,24,Oklahoma State,25-03-1989
Vander Blue,77,197,21,Marquette,17-07-1992
Tony Wroten,78,208,20,Washington,14-04-1993
Khalif Wyatt,76,210,22,Temple,10-06-1991
Michael Carter-Williams,78,185,21,Syracuse,12-10-1991
Nerlens Noel,82,228,19,Kentucky,10-04-1994
Arnett Moultrie,83,230,22,Mississippi State,18-11-1990
Evan Turner,79,205,24,Ohio State,27-10-1988
Arsalan Kazemi,79,226,23,Oregon,22-04-1990
Thaddeus Young,80,220,25,Georgia Tech,21-06-1988
Jason Richardson,78,225,32,Michigan State,20-01-1981
Charles Jenkins,75,220,24,Hofstra,28-02-1989
Lavoy Allen,81,225,24,Temple,04-02-1989
Kwame Brown,83,270,31,Glynn Academy (GA),10-03-1982
Austin Daye,83,200,25,Gonzaga,05-06-1988
Tyler Hansbrough,81,250,27,North Carolina,03-11-1985
Steve Novak,82,240,30,Marquette,13-06-1983
Chris Wright,80,218,24,Dayton,30-09-1988
D.J. Augustin,72,180,25,Texas,10-11-1987
Dwight Buycks,75,190,24,Marquette,06-03-1989
Carlos Morais,76,190,27,None,16-10-1985
Julyan Stone,78,200,24,Texas-El Paso,07-12-1988
Landry Fields,79,214,25,Stanford,27-06-1988
Kyle Lowry,72,205,27,Villanova,25-03-1986
Quincy Acy,79,233,22,Baylor,06-10-1990
DeMar DeRozan,79,217,24,USC,07-08-1989
Linas Kleiza,80,248,28,Missouri,03-01-1985
Sebastian Telfair,72,175,28,None,09-06-1985
Amir Johnson,81,237,26,None,01-05-1987
Jonas Valanciunas,84,257,21,None,06-05-1992
Mickael Pietrus,78,215,31,France,07-02-1982
Rudy Gay,80,230,27,Connecticut,17-08-1986
Terrence Ross,79,197,22,Washington,05-02-1991
Aaron Gray,84,270,28,Pittsburgh,07-12-1984
Derrick Rose,75,190,24,Memphis,04-10-1988
Carlos Boozer,81,266,31,Duke,20-11-1981
Luol Deng,81,220,28,Duke,16-04-1985
Kirk Hinrich,76,190,32,Kansas,02-01-1981
Joakim Noah,83,232,28,Florida,25-02-1985
Daequan Cook,77,210,26,Ohio State,28-04-1987
Tony Snell,79,200,21,New Mexico,10-10-1991
Jimmy Butler,79,220,24,Marquette,14-09-1989
Taj Gibson,81,225,28,USC,24-06-1985
Marquis Teague,74,189,20,Kentucky,28-02-1993
Erik Murphy,82,230,22,Florida,26-10-1990
Mike Dunleavy,81,230,33,Duke,15-09-1980
Nazr Mohammed,82,250,36,Kentucky,05-09-1977
Vladimir Radmanovic,82,235,32,Serbia & Montenegro,19-11-1980
Matthew Dellavedova,76,185,23,St. Mary`s,08-09-1990
Jarrett Jack,75,197,29,Georgia Tech,28-10-1983
C.J. Miles,78,222,26,None,18-03-1987
Daniel Gibson,74,200,27,Texas,27-02-1986
Kyrie Irving,75,191,21,Duke,23-03-1992
Dion Waiters,76,215,21,Syracuse,01-12-1991
Luke Walton,80,235,33,Arizona,28-03-1980
Earl Clark,82,225,25,Louisville,17-01-1988
Sergey Karasev,79,197,19,None,26-10-1993
Tristan Thompson,81,227,22,Texas,13-03-1991
Anthony Bennett,80,240,20,UNLV,14-03-1993
Anderson Varejao,83,260,30,None,28-09-1982
Andrew Bynum,84,285,25,None,27-10-1987
Carrick Felix,78,200,23,Arizona State,17-08-1990
Alonzo Gee,78,219,26,Alabama,29-05-1987
Tyler Zeller,84,250,23,North Carolina,17-01-1990
Andre Drummond,82,270,20,Connecticut,10-08-1993
Josh Harrellson,82,275,24,Kentucky,12-02-1989
Chauncey Billups,75,202,36,Colorado,25-09-1976
Rodney Stuckey,77,205,27,Eastern Washington,21-04-1986
Kentavious Caldwell-Pope,78,205,20,Georgia,18-02-1993
Josh Smith,81,225,27,None,05-12-1985
Brandon Jennings,73,169,23,Italian National,23-09-1989
Tony Mitchell,81,236,21,North Texas,07-04-1992
Greg Monroe,83,250,23,Georgetown,04-06-1990
Will Bynum,72,185,30,Georgia Tech,04-01-1983
Luigi Datome,81,210,25,None,27-11-1987
Kyle Singler,80,230,25,Duke,04-05-1988
Charlie Villanueva,83,232,29,Connecticut,24-08-1984
Jonas Jerebko,82,231,26,Angelico Biella,03-03-1987
Peyton Siva,73,181,22,Louisville,24-10-1990
Corey Maggette,78,225,33,Duke,12-11-1979
Darnell Jackson,81,253,27,Kansas,07-11-1985
Ron Howard,77,200,30,Valparaiso,14-11-1982
Lance Stephenson,77,210,23,Cincinnati,05-09-1990
George Hill,74,180,27,IUPUI,04-05-1986
Luis Scola,81,245,33,None,30-04-1980
Sam Young,78,220,28,Pittsburgh,01-06-1985
Solomon Hill,79,220,22,Arizona,18-03-1991
Orlando Johnson,77,220,24,UC Santa Barbara,11-03-1989
Donald Sloan,75,205,25,Texas A&M,15-01-1988
David West,81,240,33,Xavier,29-08-1980
Chris Copeland,81,235,29,Colorado,17-03-1984
Ben Hansbrough,75,203,25,Notre Dame,23-12-1987
Paul George,80,210,23,Fresno State,02-05-1990
Ian Mahinmi,83,230,26,None,05-11-1986
C.J. Watson,74,175,29,Tennessee,17-04-1984
Danny Granger,80,228,30,New Mexico,20-04-1983
Roy Hibbert,86,278,26,Georgetown,11-12-1986
Caron Butler,79,228,33,Connecticut,13-03-1980
O.J. Mayo,76,210,25,USC,05-11-1987
Ekpe Udoh,82,240,26,Baylor,20-05-1987
Nate Wolters,76,190,22,South Dakota State,15-05-1991
Ersan Ilyasova,82,235,26,None,15-05-1987
Larry Sanders,83,235,24,Virginia Commonwealth,21-11-1988
Miroslav Raduljica,84,240,25,None,05-01-1988
Carlos Delfino,78,230,31,None,29-08-1982
Brandon Knight,75,189,21,Kentucky,02-12-1991
Gary Neal,76,210,28,Towson,03-10-1984
Luke Ridnour,74,175,32,Oregon,13-02-1981
Khris Middleton,79,215,22,Texas A&M,12-08-1991
Zaza Pachulia,83,275,29,None,10-02-1984
John Henson,83,220,22,North Carolina,28-12-1990
Giannis Antetokounmpo,81,205,18,None,16-12-1994
Royal Ivey,76,215,31,Texas,20-12-1981
Jeff Teague,74,181,25,Wake Forest,10-06-1988
Damien Wilkins,78,225,33,Georgia,11-01-1980
Lou Williams,73,175,26,None,27-10-1986
Paul Millsap,80,253,28,Louisiana Tech,10-02-1985
DeMarre Carroll,80,212,27,Missouri,27-07-1986
Pero Antic,82,260,31,None,29-07-1982
Jared Cunningham,76,185,22,Oregon State,22-03-1991
Shelvin Mack,75,215,24,Butler,22-04-1989
Johan Petro,84,247,27,None,27-01-1986
John Jenkins,76,220,22,Vanderbilt,06-03-1991
Gustavo Ayon,82,250,28,San Jose State,01-04-1985
Al Horford,82,245,27,Florida,03-06-1986
Dennis Schroeder,74,168,20,None,15-09-1993
Kyle Korver,79,212,32,Creighton,17-03-1981
Mike Scott,80,237,25,Virginia,16-07-1988
Elton Brand,81,254,34,Duke,11-03-1979
Bismack Biyombo,81,229,21,None,28-08-1992
Al Jefferson,82,280,28,None,04-01-1985
James Southerland,80,221,23,Syracuse,28-04-1990
Cody Zeller,84,230,20,Indiana,05-10-1992
DeSagana Diop,84,280,31,None,30-01-1982
Jeff Adrien,79,243,27,Connecticut,10-02-1986
Jannero Pargo,73,185,33,Arkansas,22-10-1979
Ramon Sessions,75,190,27,Nevada,11-04-1986
Ben Gordon,75,200,30,Connecticut,04-04-1983
Gerald Henderson,76,215,25,Duke,09-12-1987
Josh McRoberts,82,240,26,Duke,28-02-1987
Tyrus Thomas,82,225,27,LSU,17-08-1986
Michael Kidd-Gilchrist,79,232,19,Kentucky,26-09-1993
Kemba Walker,73,172,23,Connecticut,08-05-1990
Brendan Haywood,84,263,33,North Carolina,27-11-1979
Anthony Tolliver,80,240,28,Creighton,01-06-1985
Jeff Taylor,79,225,24,Vanderbilt,23-05-1989
Justin Hamilton,84,260,23,LSU,01-04-1990
Michael Beasley,82,235,24,Kansas State,09-01-1989
Eric Griffin,80,190,23,Campbell,26-05-1990
James Ennis,79,201,23,Long Beach State,01-07-1990
Chris Bosh,83,235,29,Georgia Tech,24-03-1984
Dwyane Wade,76,220,31,Marquette,17-01-1982
Juwan Howard,81,250,40,Michigan,07-02-1973
LeBron James,80,250,28,None,30-12-1984
Rashard Lewis,82,230,34,None,08-08-1979
Chris Andersen,82,228,35,Blinn JC (TX),07-07-1978
Mario Chalmers,74,190,27,Kansas,19-05-1986
Greg Oden,84,285,25,Ohio State,22-01-1988
James Jones,80,215,32,Miami-Florida,04-10-1980
Jarvis Varnado,81,230,15,Mississippi State,01-03-1998
Norris Cole,74,170,24,Cleveland State,13-10-1988
Shane Battier,80,220,35,Duke,09-09-1978
Ray Allen,77,205,38,Connecticut,20-07-1975
Udonis Haslem,80,235,33,Florida,09-06-1980
Joel Anthony,81,245,31,UNLV,09-08-1982
Doron Lamb,76,210,21,Kentucky,06-11-1991
Kyle O`Quinn,82,240,23,Norfolk State,26-03-1990
Arron Afflalo,77,215,27,UCLA,15-10-1985
Victor Oladipo,77,214,21,Indiana,04-03-1992
Nikola Vucevic,82,240,22,USC,24-10-1990
Ronnie Price,74,187,30,Utah Valley State,21-06-1983
Glen Davis,81,289,27,LSU,01-01-1986
Tobias Harris,80,226,21,Tennessee,15-07-1992
Jameer Nelson,72,190,31,Saint Joseph`s,09-02-1982
Hedo Turkoglu,82,220,34,None,19-03-1979
Moe Harkless,80,218,20,St. John`s,11-05-1993
Romero Osby,80,232,23,Oklahoma,07-05-1990
Andrew Nicholson,81,250,23,St. Bonaventure,08-12-1989
Jason Maxiell,79,260,30,Cincinnati,18-02-1983
E`Twaun Moore,76,191,24,Purdue,28-02-1989
Trevor Ariza,80,210,28,UCLA,30-06-1985
John Wall,76,195,23,Kentucky,06-09-1990
Bradley Beal,76,207,20,Florida,28-06-1993
Eric Maynor,75,175,26,VA Commonwealth,11-06-1987
Al Harrington,81,250,33,None,17-02-1980
Martell Webster,79,230,26,None,04-12-1986
Kevin Seraphin,81,275,23,None,07-12-1989
Glen Rice Jr.,78,211,22,Rio Grande Valley,01-01-1991
Garrett Temple,78,195,27,LSU,08-05-1986
Otto Porter,81,200,20,Georgetown,03-06-1993
Jan Vesely,83,240,23,None,24-04-1990
Chris Singleton,80,230,23,Florida State,21-11-1989
Trevor Booker,80,240,25,Clemson,25-11-1987
Nene ,83,250,31,None,13-09-1982
Emeka Okafor,82,255,30,Connecticut,28-09-1982
Fab Melo,84,255,23,Syracuse,20-06-1990
Devin Ebanks,81,215,23,West Virginia,28-10-1989
Shawn Marion,79,228,35,UNLV,07-05-1978
D.J. Kennedy,78,215,23,St. John`s,05-11-1989
Mickey McConnell,72,189,24,St. Mary`s,14-04-1989
Samuel Dalembert,83,250,32,Seton Hall,10-05-1981
Bernard James,82,240,28,Florida State,07-02-1985
Ricky Ledo,79,197,21,Providence,10-09-1992
Jose Calderon,75,211,31,None,28-09-1981
Jae Crowder,79,240,23,Marquette,06-07-1990
Monta Ellis,75,185,27,None,26-10-1985
Shane Larkin,71,176,20,Miami-Florida,02-10-1992
Devin Harris,75,190,30,Wisconsin,27-02-1983
Wayne Ellington,76,200,25,North Carolina,29-11-1987
Vince Carter,78,220,36,North Carolina,26-01-1977
Gal Mekel,76,200,25,None,04-03-1988
Brandan Wright,82,210,25,North Carolina,05-10-1987
Dirk Nowitzki,84,245,35,Germany,19-06-1978
DeJuan Blair,79,270,24,Pittsburgh,22-04-1989
Aaron Brooks,72,161,28,Oregon,14-01-1985
Isaiah Canaan,72,198,22,Murray State,02-05-1991
Patrick Beverley,73,180,25,Arkansas,12-07-1988
Omer Asik,84,255,27,None,04-07-1986
Greg Smith,82,250,22,Fresno State,08-01-1991
Terrence Jones,81,252,21,Kentucky,09-01-1992
Jeremy Lin,75,200,25,Harvard,23-08-1988
Ronnie Brewer,79,235,28,Arkansas,20-03-1985
Dwight Howard,83,265,27,SW Atlanta Christian Academy (HS),08-12-1985
James Harden,77,220,24,Arizona State,26-08-1989
B.J. Young,75,180,20,Arkansas,26-05-1993
Omri Casspi,81,225,25,Maccabi Elite,22-06-1988
Donatas Motiejunas,84,222,23,None,20-09-1990
Marcus Camby,83,235,39,Massachusetts,22-03-1974
Chandler Parsons,81,200,24,Florida,25-10-1988
Francisco Garcia,79,195,31,Louisville,31-12-1981
Robert Covington,81,204,22,Tennessee State,14-12-1990
Jordan Henriquez,83,250,24,Kansas State,29-08-1989
Reggie Williams,78,205,27,Virginia Military,14-09-1986
Kosta Koufos,84,265,24,Ohio State,24-02-1989
Tony Gaffney,80,205,28,Massachusetts,14-11-1984
Mike Miller,80,218,33,Florida,19-02-1980
Nick Calathes,78,194,24,Florida,07-02-1989
Jamaal Franklin,77,205,22,San Diego State,21-07-1991
Willie Reed,81,207,23,Saint Louis,16-05-1990
Jerryd Bayless,75,200,25,Arizona,20-08-1988
Tony Allen,76,213,31,Oklahoma State,11-01-1982
Mike Conley,73,185,25,Ohio State,11-10-1987
Quincy Pondexter,78,225,25,Washington,10-03-1988
Tayshaun Prince,81,215,33,Kentucky,28-02-1980
Jon Leuer,82,228,24,Wisconsin,14-05-1989
Ed Davis,82,228,24,North Carolina,05-06-1989
Marc Gasol,85,265,28,Spain,29-01-1985
Zach Randolph,81,260,32,Michigan State,16-07-1981
Keyon Dooling,75,195,33,Missouri,08-05-1980
Greg Stiemsma,83,260,27,Wisconsin,26-09-1985
Jeff Withey,84,235,23,Kansas,07-03-1990
Al-Farouq Aminu,81,215,22,Wake Forest,21-09-1990
Arinze Onuaku,81,261,26,Syracuse,13-07-1987
Lance Thomas,80,225,25,Duke,24-04-1988
Tyreke Evans,78,220,24,Memphis,19-09-1989
Anthony Morrow,77,210,27,Georgia Tech,27-09-1985
Darius Miller,80,235,23,Kentucky,21-03-1990
Roger Mason Jr.,77,205,33,Virginia,10-09-1980
Eric Gordon,75,215,24,Indiana,25-12-1988
Jrue Holiday,76,180,23,UCLA,12-06-1990
Jason Smith,84,240,27,Colorado State,02-03-1986
Lou Amundson,81,225,30,UNLV,07-12-1982
Brian Roberts,73,180,27,Dayton,03-12-1985
Anthony Davis,82,220,20,Kentucky,11-03-1993
Austin Rivers,76,200,21,Duke,01-08-1992
Ryan Anderson,82,240,25,California,06-05-1988
Livio Jean-Charles,81,217,19,None,08-11-1993
Deshaun Thomas,78,220,22,Ohio State,28-08-1991
Kawhi Leonard,79,225,22,San Diego State,21-06-1991
Marco Belinelli,77,200,27,None,25-03-1986
Danny Green,78,210,26,North Carolina,22-06-1987
Cory Joseph,75,185,21,Texas,20-10-1991
Patty Mills,72,185,25,Saint Mary`s-CA,11-08-1988
Tony Parker,74,180,31,None,17-05-1982
Jeff Ayres,81,240,26,Arizona State,29-04-1987
Matt Bonner,82,235,33,Florida,05-04-1980
Aron Baynes,82,260,26,Washington State,09-12-1986
Manu Ginobili,78,205,36,None,28-07-1977
Tim Duncan,83,255,37,Wake Forest,25-04-1976
Tiago Splitter,83,240,28,Brazil,01-01-1985
Nando De Colo,77,200,26,France,23-06-1987
Boris Diaw,80,235,31,None,16-04-1982
Darrell Arthur,81,235,25,Kansas,25-03-1988
Damion James,79,220,25,Texas,07-10-1987
Joffrey Lauvergne,83,235,21,None,30-09-1991
Erick Green,75,185,22,Virginia Tech,09-05-1991
Jordan Hamilton,79,220,22,Texas,06-10-1990
Ty Lawson,71,195,25,North Carolina,03-11-1987
Randy Foye,76,213,29,Villanova,24-09-1983
J.J. Hickson,81,242,25,NC State,04-09-1988
Danilo Gallinari,82,225,25,None,08-08-1988
Nate Robinson,69,180,29,Washington,31-05-1984
Anthony Randolph,83,225,24,LSU,15-07-1989
Wilson Chandler,80,225,26,DePaul,10-05-1987
Andre Miller,74,200,37,Utah,19-03-1976
Timofey Mozgov,85,250,27,None,16-07-1986
Quincy Miller,81,210,20,Baylor,18-11-1992
JaVale McGee,84,252,25,Nevada,19-01-1988
Kenneth Faried,80,228,23,Morehead State,19-11-1989
Evan Fournier,79,206,20,Poiters Basket 86 (France),29-10-1992
Gorgui Dieng,83,245,23,Louisville,18-01-1990
Ronny Turiaf,82,245,30,Gonzaga,13-01-1983
Corey Brewer,81,188,27,Florida,05-03-1986
Bojan Dubljevic,81,240,21,None,24-10-1991
Lorenzo Brown,77,189,23,NC State,26-08-1990
Kevin Martin,79,185,30,Western Carolina,01-02-1983
Shabazz Muhammad,78,225,20,UCLA,13-11-1992
Alexey Shved,78,190,24,CSKA Moscow,16-12-1988
Derrick Williams,80,241,22,Arizona,25-05-1991
Ricky Rubio,76,180,22,Spain National,21-10-1990
Chase Budinger,79,218,25,Arizona,22-05-1988
J.J. Barea,72,175,29,Northeastern,26-06-1984
Nikola Pekovic,83,290,27,None,03-01-1986
Mickael Gelabale,79,215,30,None,22-05-1983
Chris Johnson,83,210,28,LSU,15-07-1985
Dante Cunningham,80,230,26,Villanova,22-04-1987
Kevin Love,82,250,25,UCLA,07-09-1988
Russell Westbrook,75,187,24,UCLA,12-11-1988
Thabo Sefolosha,79,215,29,None,02-05-1984
Perry Jones III,83,235,21,Baylor,24-09-1991
Nick Collison,82,255,32,Kansas,26-10-1980
Kendrick Perkins,82,280,28,None,10-11-1984
Derek Fisher,73,210,39,Ark-Little Rock,09-08-1974
Ryan Gomes,79,245,31,Providence,01-09-1982
Serge Ibaka,82,235,24,None,18-09-1989
Jeremy Lamb,77,180,21,Connecticut,30-05-1992
Steven Adams,84,250,20,Pittsburgh,28-07-1993
Reggie Jackson,75,208,23,Boston College,16-04-1990
Andre Roberson,79,206,21,Colorado,04-12-1991
Daniel Orton,82,255,23,Kentucky,06-08-1990
Hasheem Thabeet,87,263,26,Connecticut,16-02-1987
Kevin Durant,81,230,24,Texas,29-09-1988
Grant Jerrett,82,232,20,Arizona,08-07-1993
Richard Howell,79,250,22,NC State,26-09-1990
E.J. Singler,78,215,23,Oregon,06-06-1990
Terrel Harris,76,190,26,Oklahoma State,10-08-1987
Damian Lillard,75,195,23,Weber State,15-07-1990
Earl Watson,73,195,34,UCLA,12-06-1979
Jared Jeffries,83,240,31,Indiana,25-11-1981
Wesley Matthews,77,220,26,Marquette,14-10-1986
Dee Bost,74,170,23,Mississippi State,12-10-1989
C.J. McCollum,75,197,22,Lehigh,19-09-1991
Dorell Wright,81,205,27,None,02-12-1985
Nolan Smith,74,185,25,Duke,25-07-1988
Will Barton,78,174,22,Memphis,06-01-1991
Elliot Williams,77,183,24,Memphis,20-06-1989
Meyers Leonard,85,250,21,Illinois,27-02-1992
LaMarcus Aldridge,83,240,28,Texas,19-07-1985
Victor Claver,81,235,25,Pamesa Valencia,30-08-1988
Joel Freeland,83,225,26,Farnborough College of Technology,07-02-1987
Allen Crabbe,78,200,21,California,04-04-1992
Mo Williams,73,195,30,Alabama,19-12-1982
Thomas Robinson,82,237,22,Kansas,18-03-1991
Robin Lopez,84,255,25,Stanford,01-04-1988
Nicolas Batum,80,200,24,None,14-12-1988
Andris Biedrins,84,240,27,None,02-04-1986
Rudy Gobert,85,235,21,None,26-06-1992
Enes Kanter,83,267,21,Kentucky,20-05-1992
Richard Jefferson,79,230,33,Arizona,21-06-1980
Brandon Rush,78,210,28,Kansas,07-07-1985
Trey Burke,73,185,20,Michigan,12-11-1992
Ian Clark,75,175,22,Belmont,07-03-1991
John Lucas III,71,157,30,Oklahoma State,21-11-1982
Marvin Williams,81,240,27,North Carolina,19-06-1986
Jamaal Tinsley,75,185,35,Iowa State,28-02-1978
Alec Burks,78,195,22,Colorado,20-07-1991
Derrick Favors,82,246,22,Georgia Tech,15-07-1991
Gordon Hayward,80,207,23,Butler,23-03-1990
Jerel McNeal,75,196,26,Marquette,01-07-1987
Jeremy Evans,81,196,25,Western Kentucky,24-10-1987
Toney Douglas,74,185,27,Florida State,16-03-1986
Seth Curry,74,185,23,Duke,23-08-1990
Marreese Speights,82,245,26,Florida,04-08-1987
Jermaine O`Neal,83,255,34,None,13-10-1978
Nemanja Nedovic,75,191,22,None,16-06-1991
Andre Iguodala,78,207,29,Arizona,28-01-1984
David Lee,81,240,30,Florida,29-04-1983
Klay Thompson,79,205,23,Washington State,08-02-1990
Andrew Bogut,84,260,28,Utah,28-11-1984
Kent Bazemore,77,201,24,Old Dominion,01-07-1989
Draymond Green,79,230,23,Michigan State,14-03-1990
Stephen Curry,75,185,25,Davidson,14-03-1988
Festus Ezeli,83,255,23,Vanderbilt,21-10-1989
Harrison Barnes,80,210,21,North Carolina,30-05-1992
Byron Mullens,84,275,24,Ohio State,14-02-1989
Brandon Davies,81,235,22,BYU,25-07-1991
Darren Collison,72,160,26,UCLA,23-08-1987
Chris Paul,72,175,28,Wake Forest,06-05-1985
J.J. Redick,76,190,29,Duke,24-06-1984
Maalik Wayns,73,195,22,Villanova,02-05-1991
DeAndre Jordan,83,265,25,Texas A&M,21-07-1988
Lamar Odom,82,230,33,Rhode Island,06-11-1979
Jared Dudley,79,225,28,Boston College,10-07-1985
Jamal Crawford,77,200,33,Michigan,20-03-1980
Ryan Hollins,84,240,28,UCLA,10-10-1984
Matt Barnes,79,226,33,UCLA,09-03-1980
Reggie Bullock,79,200,22,North Carolina,16-03-1991
Blake Griffin,82,251,24,Oklahoma,16-03-1989
Antawn Jamison,81,235,37,North Carolina,12-06-1976
Willie Green,75,201,32,Detroit,28-07-1981
Xavier Henry,78,220,22,Kansas,15-03-1991
Marcus Landry,79,230,27,Wisconsin,01-11-1985
Shawne Williams,81,230,27,Memphis,16-02-1986
Nick Young,78,200,28,USC,01-06-1985
Jordan Farmar,74,180,26,U-C-L-A,30-11-1986
Elias Harris,80,239,24,Gonzaga,06-07-1989
Ryan Kelly,83,230,22,Duke,09-04-1991
Steve Blake,75,172,33,Maryland,26-02-1980
Chris Kaman,84,265,31,Central Michigan,28-04-1982
Steve Nash,75,178,39,Santa Clara,07-02-1974
Wesley Johnson,79,215,26,Syracuse,11-07-1987
Pau Gasol,84,250,33,None,06-07-1980
Jodie Meeks,76,208,26,Kentucky,21-08-1987
Kobe Bryant,78,205,35,None,23-08-1978
Jordan Hill,82,235,26,Arizona,27-07-1987
Robert Sacre,84,263,24,Gonzaga,06-06-1989
Viacheslav Kravtsov,84,260,26,None,25-08-1987
Alex Len,85,255,20,Maryland,16-06-1993
Gerald Green,80,200,27,None,26-01-1986
Alex Oriakhi,81,255,23,Missouri,21-06-1990
Miles Plumlee,82,245,25,Duke,01-09-1988
Eric Bledsoe,73,195,23,Kentucky,09-12-1989
Dionte Christmas,77,205,27,Temple,15-09-1986
Archie Goodwin,77,189,19,Kentucky,17-08-1994
Malcolm Lee,77,200,23,UCLA,22-05-1990
Ish Smith,72,175,25,Wake Forest,05-07-1988
Goran Dragic,75,190,27,None,06-05-1986
Marcin Gortat,83,240,29,Poland,17-02-1984
Channing Frye,83,245,30,Arizona,17-05-1983
Diante Garrett,76,190,24,Iowa State,03-11-1988
Markieff Morris,82,245,24,Kansas,02-09-1989
Kendall Marshall,76,195,22,North Carolina,19-08-1991
Marcus Morris,81,235,24,Kansas,02-09-1989
P.J. Tucker,77,225,28,Texas,05-05-1985
Shannon Brown,76,210,27,Michigan State,29-11-1985
DeQuan Jones,80,221,23,Miami-Florida,20-06-1990
Trent Lockett,77,210,22,Marquette,10-12-1990
Ray McCallum,75,190,22,Detroit,12-06-1991
John Salmons,78,207,33,Miami-Florida,12-12-1979
Jimmer Fredette,74,195,24,BYU,25-02-1989
Patrick Patterson,81,235,24,Kentucky,14-03-1989
Greivis Vasquez,78,211,26,Maryland,16-01-1987
DeMarcus Cousins,83,270,23,Kentucky,13-08-1990
Ben McLemore,77,195,20,Kansas,11-02-1993
Isaiah Thomas,69,185,24,Washington,07-02-1989
Marcus Thornton,76,205,26,LSU,05-06-1987
Carl Landry,81,248,30,Purdue,19-09-1983
Travis Outlaw,81,207,29,None,18-09-1984
Luc Mbah a Moute,80,230,27,UCLA,09-09-1986
Jason Thompson,83,250,27,Rider,21-07-1986
Chuck Hayes,78,238,30,Kentucky,11-06-1983
Cole Aldrich,83,245,24,Kansas,31-10-1988
James Johnson,81,248,26,Wake Forest,20-02-1987
